  Temp  M  dM  Suc  dSuc 
  0.50000000000000000        6.2303173685004425E-002   3.2533770568997914E-004  0.63494072926570311        9.5081970229273418E-003
  0.45248307357234790        6.1122652945631642E-002   3.1712040751856100E-004  0.66662321756763954        9.8886523390912685E-003
  0.40948186373895767        6.0776732402426308E-002   3.1341465638638972E-004  0.71951246758916076        1.0601641330295357E-002
  0.37056722455347385        5.9381629605815979E-002   3.0917810656327786E-004  0.77372183491436441        1.1794487207727985E-002
  0.33535079346226054        5.7807706620679911E-002   3.0124805066459871E-004  0.81167756833666849        1.2212578786030036E-002
  0.30348111550145862        5.6461543346290659E-002   2.9524483398175790E-004  0.86152390884178698        1.2551037859908926E-002
  0.27464013582652946        5.5123189779127085E-002   2.8723645986892014E-004  0.90105129934568029        1.3564896824546296E-002
  0.24854002557023031        5.3611293162222927E-002   2.8042108389220773E-004  0.94898507031660873        1.4741014567228384E-002
  0.22492030935153548        5.2253560894441151E-002   2.7450894925261382E-004   1.0048904853171408        1.5006626999974692E-002
  0.20354526576845217        4.9425123612886188E-002   2.6004169606059629E-004  0.99645884330877665        1.5163421198936369E-002
  0.18420157493201933        4.7180157243111906E-002   2.5078780112562096E-004   1.0241271217371042        1.5901962817933553E-002
  0.16669618956421453        4.5033056010365835E-002   2.3870764103802743E-004   1.0252773445130552        1.5843904922776354E-002
  0.15085440841362907        4.1151066738235501E-002   2.0172477928772668E-004  0.80908636683826973        1.5929494503372926E-002
  0.13651813276187430        4.1590405053379270E-002   1.6756588263334781E-004  0.61690067987026864        1.1110745975389812E-002
  0.12354428862090146        4.0242280764846920E-002   1.5023965390298746E-004  0.54800038978234145        1.2503751019903532E-002
  0.11180339887498945        4.1052895488752524E-002   1.4688189759663986E-004  0.57878322347984112        1.0241510141946592E-002
  0.10117829111758084        4.2857864876229751E-002   1.5089070981915697E-004  0.67495070389379896        6.4547277535774864E-003
   9.1562928287361539E-002   3.8766311624928169E-002   1.2376471638160354E-004  0.50177430712457127        9.0616518184928902E-003
   8.2861350433499667E-002   3.8032118191707272E-002   1.1627482853332581E-004  0.48938854536467224        1.0043949708160912E-002
   7.4986717049010665E-002   4.3862465043886016E-002   1.5502652170376244E-004  0.96130689432701555        7.6174290849487384E-003
   6.7860440414872658E-002   3.4492930498699274E-002   6.1145273692475081E-005  0.16525077470289046        8.3776219752586464E-003
   6.1411401305789509E-002   3.3332090352483773E-002   1.2728086354242386E-006   7.9124615095387761E-005   3.8873991605423978E-005
   5.5575239230457089E-002   3.6392000000000001E-002   9.6266287235081887E-005  0.50015140768121302        1.4142869040751028E-002
   5.0293710123031500E-002   3.3333333333333333E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   4.5514105075652005E-002   3.3333333333333333E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   4.1188724311051646E-002   3.3333333333333333E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   3.7274401145577472E-002   3.3333333333333333E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   3.3732071191839089E-002   3.3333333333333333E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   3.0526382501689202E-002   3.3333333333333333E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   2.7625342758818946E-002   3.3333333333333333E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000     
