  Temp  En  dE  Cv  dCv 
   500.00000000000000       -5.2328039954470627E-002   3.3539085810853245E-003   1.3495743770652833E-004   1.9477762455391745E-006
   397.16411736214076       -6.1562950585068707E-002   3.3646507998570324E-003   2.1526547318367729E-004   3.0029145595180200E-006
   315.47867224009661       -8.8188430881902757E-002   3.3531259540044108E-003   3.3883956632563760E-004   4.8386510446326665E-006
   250.59361681363612      -0.11426996906970525        3.3284236522698042E-003   5.2914120479486911E-004   7.3716578959418307E-006
   199.05358527674863      -0.15014307817652203        3.3345122516073695E-003   8.4170327634429539E-004   1.2041708726752892E-005
   158.11388300841901      -0.18778994330986443        3.2986438632956082E-003   1.3054650282488419E-003   1.8313094564814013E-005
   125.59432157547900      -0.23751574879235449        3.2674517943807086E-003   2.0300781687698183E-003   2.8540721527238186E-005
   99.763115748443994      -0.29888283142651412        3.2371948022869444E-003   3.1581448961527235E-003   4.4981330207037388E-005
   79.244659623055682      -0.37420999693642010        3.2096291951332566E-003   4.9204418799293579E-003   6.9838308756526928E-005
   62.946270589708355      -0.47340552217254789        3.1835441050498958E-003   7.6721330328639314E-003   1.0766768962240333E-004
   50.000000000000007      -0.58112752805021606        3.1320674477889588E-003   1.1769461551555234E-002   1.6831114941725516E-004
   39.716411736214070      -0.72739814903938371        3.0416514194566064E-003   1.7591920979602469E-002   2.5199642333564349E-004
   31.547867224009657      -0.90051563315320338        2.9638982410526669E-003   2.6474085117511897E-002   3.7923912165770720E-004
   25.059361681363615       -1.1008651069664666        2.8223130339820996E-003   3.8045626990225373E-002   5.3909541244422771E-004
   19.905358527674863       -1.3288122347069751        2.6694856382289312E-003   5.3944796637266694E-002   7.7103671048577667E-004
   15.811388300841902       -1.5948409858781807        2.4784579871434489E-003   7.3698306055630047E-002   1.0466507153535211E-003
   12.559432157547903       -1.8641504183063224        2.2369993475526233E-003   9.5153791454413300E-002   1.3311285703134310E-003
   9.9763115748444005       -2.1269189502762154        1.9236883354549490E-003  0.11152283627879188        1.5880983343911235E-003
   7.9244659623055700       -2.3641445414547131        1.5633900126224276E-003  0.11674251611177167        1.7179051173287459E-003
   6.2946270589708382       -2.5502041489536205        1.2218096803239379E-003  0.11300600089761403        1.6312405709613597E-003
   5.0000000000000018       -2.6824888508819766        8.5235434545817654E-004   8.7163516308149891E-002   1.3827995280403526E-003
   3.9716411736214101       -2.7574517046876492        5.5095151116686192E-004   5.7719311232944541E-002   9.8134484154432629E-004
   3.1547867224009654       -2.7939422892008179        3.2978025478309735E-004   3.2775074022460708E-002   6.9380369499364423E-004
   2.5059361681363610       -2.8092294589576592        1.8131529433016580E-004   1.5702299674431295E-002   4.6676851499096806E-004
   1.9905358527674859       -2.8154561297700753        1.0955194625513350E-004   9.0852017884113009E-003   3.0350542084307575E-004
   1.5811388300841895       -2.8188322168054225        8.8648897471741965E-005   9.4284664501125617E-003   1.7068989995721115E-004
   1.2559432157547898       -2.8222947650516605        8.4346713007296388E-005   1.3527910102622531E-002   2.0047828668988394E-004
  0.99763115748443987       -2.8265141676929968        7.9918661995530567E-005   1.9248229630269665E-002   2.7339036983863117E-004
  0.79244659623055669       -2.8310590111531311        7.6339290928451837E-005   2.7834961600997889E-002   3.9781399940246943E-004
  0.62946270589708375       -2.8365546991408053        7.1269638929684061E-005   3.8450633448942832E-002   5.4443661042880443E-004
  0.50000000000000011       -2.8425083091086099        6.6739225792857053E-005   5.3438801804246976E-002   7.7021676945496459E-004
  0.39716411736214086       -2.8491094569323838        6.4188090076165076E-005   7.8343557630029981E-002   1.1221215184038695E-003
  0.31547867224009674       -2.8563595775920469        5.9508047986647113E-005  0.10671999384935603        1.5065869907598256E-003
  0.25059361681363629       -2.8647075564956306        5.7721972119920266E-005  0.15913902889488435        2.2717685764202314E-003
  0.19905358527674874       -2.8753418765876235        6.0232601820503970E-005  0.27463610385319215        4.1305349057133411E-003
  0.15811388300841892       -2.8957178029453265        9.0742236332269502E-005  0.98790080438678540        1.1600942578982835E-002
  0.12559432157547909       -2.9141288745203489        3.2101952020887271E-005  0.19595541264672814        3.7711868423793149E-003
   9.9763115748443959E-002  -2.9172911938113049        1.6450668607331602E-005   8.1557045106292386E-002   1.4791395258902415E-003
   7.9244659623055741E-002  -2.9188746534178089        1.2814509548916990E-005   7.8432917131182889E-002   1.0812583597007244E-003
   6.2946270589708364E-002  -2.9202543792770772        1.0268247682987954E-005   7.9815478509383128E-002   1.1348467246298591E-003
   5.0000000000000044E-002  -2.9211581055793134        8.7811523746530320E-006   9.2511934383461725E-002   4.3471666772139483E-002
   3.9716411736214076E-002  -2.9215430125782476        3.7597827599048737E-006   2.6879599115614272E-002   6.4433467333359969E-004
   3.1547867224009693E-002  -2.9217144439687313        2.4718919096697093E-006   1.8414493268868615E-002   5.0597445980587953E-004
   2.5059361681363621E-002  -2.9218205249112317        1.7832763867785478E-006   1.5189303537345676E-002   3.0018280415042026E-004
   1.9905358527674850E-002  -2.9218961657050673        1.2475581083257403E-006   1.1781773797885545E-002   2.3513543293880967E-004
   1.5811388300841903E-002  -2.9219292237133501        8.8549017355547782E-007   9.4066125651200549E-003   3.1237298503791023E-004
   1.2559432157547894E-002  -2.9219515930668325        3.9571462376935651E-007   2.9760547768447388E-003   2.1097342395007642E-004
   9.9763115748444028E-003  -2.9219561669148901        1.6196661082096373E-007   7.8797999739660201E-004   1.4139774410830649E-004
   7.9244659623055654E-003  -2.9219570700175157        0.0000000000000000       -4.1340430748383482E-006   0.0000000000000000     
   6.2946270589708401E-003  -2.9219569826181360        5.0457531492371438E-008   1.8615954251151992E-004   1.1122171291375494E-004
