  Temp  M  dM  Suc  dSuc 
   1.6009310098122935        7.2834686361341605E-002   3.7835716238513188E-004  0.26820427373934330        3.9850919215870407E-003
   1.3132639337202165        7.2706678834793897E-002   3.7717915432793200E-004  0.32492096845208962        4.7169265654314592E-003
   1.0772869967785241        7.2552749161866034E-002   3.7452565593267537E-004  0.39054053807517219        5.7882647540376513E-003
  0.88371213404185411        7.2922660971757661E-002   3.8140890903004651E-004  0.49374787508812867        7.2716316485157374E-003
  0.72492022848889981        7.2370444235228301E-002   3.7849772891425051E-004  0.59274886183603470        8.7261210575506048E-003
  0.59466122216616402        7.1652848647277348E-002   3.7509874230577439E-004  0.70966925114412127        1.0632854822466500E-002
  0.48780811357034859        7.1108675729091048E-002   3.7481157792221552E-004  0.86379635576874481        1.3282944750954474E-002
  0.40015515859309014        7.2074620360776387E-002   3.7399048432119029E-004   1.0484001541551828        1.5255562345534136E-002
  0.32825233220637856        7.0060485307112924E-002   3.6151145515505765E-004   1.1941824863555195        1.8546450847088485E-002
  0.26926953529167236        6.8858596761031704E-002   3.6229952997600124E-004   1.4621189701390873        2.2276247900615855E-002
  0.22088520178618914        6.6948057884408774E-002   3.5147690688573950E-004   1.6774954923285845        2.5774612976179775E-002
  0.18119492171766102        6.5825928686460589E-002   3.4576092923442478E-004   1.9789745229628639        2.9509738012965362E-002
  0.14863648352527195        6.3167626909076111E-002   3.3158939174444236E-004   2.2187594775813562        3.3497537249368874E-002
  0.12192838532850055        6.2074115328877140E-002   3.3236101698539165E-004   2.7173759494027481        4.0972883712218022E-002
  0.10001939494409270        5.5571347586357893E-002   2.9713178966876550E-004   2.6475758197918577        4.1719713392056754E-002
   8.2047173330720799E-002   4.9806464902010045E-002   2.7294169844929099E-004   2.7233944463725654        5.3566997657315214E-002
   6.7304332877879777E-002   4.7778036340604429E-002   2.3568465257922037E-004   2.4754489432312439        5.8340152265605905E-002
   5.5210594591444964E-002   4.6470582751002680E-002   2.1518875226026330E-004   2.5156551201047654        5.9291796138402714E-002
   4.5289948281215658E-002   4.2944822067035961E-002   1.7699981830874122E-004   2.0748094044853129        5.2678812690043361E-002
   3.7151916774195083E-002   4.3150747868558499E-002   1.7128548929891437E-004   2.3686141072273528        6.7153513914640861E-002
   3.0476186712034590E-002   3.9090683019063696E-002   1.2820306564211858E-004   1.6175979450252247        3.1390213628231342E-002
