  Temp  En  dE  Cv  dCv 
   500.00000000000000       -6.6958810636025032E-002   3.2669197362075833E-003   1.2804756139964449E-004   1.8118687005396429E-006
   410.15631706521634       -7.7672248241499278E-002   3.2817116403223755E-003   1.9201555722913864E-004   2.7568220887452841E-006
   336.45640885700453       -9.6689471949247222E-002   3.2665140324528766E-003   2.8271303797392254E-004   4.0218175903547999E-006
   275.99944301955520      -0.11596388368835996        3.2427099373449056E-003   4.1403226375098849E-004   5.9326883011458970E-006
   226.40583012190356      -0.14120229975505214        3.1918689143590560E-003   5.9614138698796610E-004   8.3896499991448053E-006
   185.72356288978597      -0.17563987297889144        3.1692264270435592E-003   8.7338738716013391E-004   1.2348748804676938E-005
   152.35138509420943      -0.20447369618397920        3.2338867490881401E-003   1.3514226430209838E-003   1.8861206501774300E-005
   124.97576602005088      -0.25081931633038435        3.1918107934602960E-003   1.9563972998375861E-003   2.7363392336310299E-005
   102.51919982637654      -0.31149542465713220        3.1415033561707820E-003   2.8164304554249326E-003   3.9737172183314545E-005
   84.097794858519137      -0.36603336384689195        3.1346021920361949E-003   4.1670627553266303E-003   5.9069466975889218E-005
   68.986483624952584      -0.44220387820052554        3.1126558588743299E-003   6.1061657365631978E-003   8.6842019434599959E-005
   56.590484101780817      -0.53070753989633390        3.0519096047084398E-003   8.7235028089111752E-003   1.2514964518891322E-004
   46.421889080248192      -0.65056429329748910        3.0559772712483706E-003   1.2998373503753611E-002   1.8106955703812904E-004
   38.080462112729158      -0.77055236962285079        2.9452139548016508E-003   1.7941703304417304E-002   2.5287033629404023E-004
   31.237884184597007      -0.91610099681355561        2.8797169387022848E-003   2.5490055000509833E-002   3.6445797311797427E-004
   25.624831060128148       -1.0813810242427206        2.7843652577089180E-003   3.5413168193552086E-002   5.2526094536448564E-004
   21.020372666081048       -1.2667955298512148        2.6516350734259162E-003   4.7728861889009863E-002   7.1729284348028748E-004
   17.243277272116284       -1.4725097317122127        2.5254440242545671E-003   6.4338400812694346E-002   9.1697344794753699E-004
   14.144878200131137       -1.6897014742556880        2.2600574822655584E-003   7.6572872186095473E-002   1.1017578783955690E-003
   11.603222295803704       -1.9117271267906752        2.0707806896306507E-003   9.5531232144467251E-002   1.3445266811226691E-003
   9.5182698458717017       -2.1258623006966673        1.7879575134919345E-003  0.10583583844324883        1.5495237236126040E-003
   7.8079570096312807       -2.3124265643416049        1.5192013373062085E-003  0.11355080897318456        1.6576180825560120E-003
   6.4049657817478156       -2.4678689716195787        1.2187584434208418E-003  0.10860155373152122        1.6263474638867016E-003
   5.2540743519408331       -2.5852530371216318        9.1425100551542962E-004   9.0818192918874593E-002   1.3883003894001363E-003
   4.3099835715577317       -2.6613379717692620        6.5647282729434226E-004   6.9585166535528958E-002   1.1081962186412790E-003
   3.5355339766434137       -2.7066483527466909        4.3372894908430028E-004   4.5139961151487003E-002   8.7276916397628916E-004
   2.9002431894380010       -2.7285887145102654        2.6658239235846193E-004   2.5341276198106319E-002   6.1778455856060577E-004
   2.3791061303467349       -2.7379222019437610        1.6252697062602161E-004   1.3997730907000626E-002   4.6124366661978830E-004
   1.9516108166605914       -2.7426128862451247        1.0483849313191596E-004   8.6554469529642481E-003   3.1188183071370260E-004
   1.6009310098122935       -2.7456047575911282        8.4944636589167941E-005   8.4442500039598033E-003   1.9542555729013572E-004
   1.3132639337202165       -2.7482598061313750        7.8941401831323927E-005   1.0837772372499525E-002   1.7452351967541874E-004
   1.0772869967785241       -2.7512214002462918        7.5446704944240971E-005   1.4711335840155810E-002   2.0975956506217713E-004
  0.88371213404185411       -2.7545564778953042        7.2594389143928930E-005   2.0240389488272441E-002   2.9046533059511298E-004
  0.72492022848889981       -2.7583862428339518        6.9027486401140517E-005   2.7195564150834049E-002   3.8256868017342861E-004
  0.59466122216616402       -2.7623759864499853        6.5153503472751924E-005   3.6005653718587084E-002   5.0554563203126742E-004
  0.48780811357034859       -2.7668832890032773        6.1227704824922996E-005   4.7253318379895590E-002   6.7754807052831012E-004
  0.40015515859309014       -2.7716359759590246        5.7573922364041535E-005   6.2091076191059476E-002   9.0840276766294438E-004
  0.32825233220637856       -2.7765418229269074        5.3427947929864915E-005   7.9461313284418536E-002   1.1134717237510031E-003
  0.26926953529167236       -2.7818613200339772        4.8551703615896256E-005   9.7514432252538474E-002   1.4041726766243210E-003
  0.22088520178618914       -2.7873080028326198        4.5491280214645069E-005  0.12722060749883077        1.8070908205953227E-003
  0.18119492171766102       -2.7928393431319640        4.2002735689957863E-005  0.16117493464203547        2.3088862876805487E-003
  0.14863648352527195       -2.7987188573388160        3.8728926158200200E-005  0.20363595196697379        2.8940555946910100E-003
  0.12192838532850055       -2.8046326582437500        3.5697790950452717E-005  0.25710317005860134        3.7220208491487790E-003
  0.10001939494409270       -2.8113222388829229        3.6208575537570459E-005  0.39308713090549346        5.1850101357365629E-003
   8.2047173330720799E-002  -2.8176686817664529        2.3065142763646161E-005  0.23703879562134383        3.7415128587911873E-003
   6.7304332877879777E-002  -2.8200265663791400        1.1960598787909775E-005   9.4722727341395183E-002   1.5814480167010087E-003
   5.5210594591444964E-002  -2.8209589438999618        7.7891745945778322E-006   5.9699741886052031E-002   1.0167003598338352E-003
   4.5289948281215658E-002  -2.8215403848305556        5.8513573181827338E-006   5.0066123111518229E-002   8.4156950246580141E-004
   3.7151916774195083E-002  -2.8219876610283858        5.4123351851544530E-006   6.3656288066802763E-002   1.0106223900474397E-003
   3.0476186712034590E-002  -2.8223924324126268        5.1318696221036202E-006   8.5048062688928033E-002   1.2529168277240490E-003
