i_v,j_v,i_v_q
72,74,-2.999999999999999
73,73,-3.0000000000000053
73,101,2.999999999999992
73,102,2.999999999999992
74,73,0.0
74,74,0.0
74,75,0.0
74,76,0.0
74,102,0.0
74,104,0.0
75,75,-2.999999999999999
75,76,3.0000000000000053
75,77,-2.999999999999999
76,76,-3.0000000000000053
76,104,2.999999999999992
76,105,2.999999999999992
77,76,0.0
77,77,0.0
77,78,0.0
77,79,0.0
77,105,0.0
77,107,0.0
78,78,-2.999999999999999
78,79,3.0000000000000053
78,80,-2.999999999999999
79,79,-3.0000000000000053
79,107,2.999999999999992
79,108,2.999999999999992
80,79,0.0
80,80,0.0
80,81,0.0
80,82,0.0
80,108,0.0
80,110,0.0
81,81,-2.999999999999999
81,82,3.0000000000000053
81,83,-2.999999999999999
82,82,-3.0000000000000053
82,110,2.999999999999992
82,111,2.999999999999992
83,82,0.0
83,83,0.0
83,84,0.0
83,85,0.0
83,111,0.0
83,113,0.0
84,84,-2.999999999999999
84,85,3.0000000000000053
84,86,-2.999999999999999
85,85,-3.0000000000000053
85,113,2.999999999999992
85,114,2.999999999999992
86,85,0.0
86,86,0.0
86,87,0.0
86,88,0.0
86,114,0.0
86,116,0.0
87,87,-2.999999999999999
87,88,3.0000000000000053
87,89,-2.999999999999999
88,88,-3.0000000000000053
88,116,2.999999999999992
88,117,2.999999999999992
89,60,0.0
89,61,0.0
89,88,0.0
89,89,0.0
89,117,0.0
89,119,0.0
90,90,-3.0000000000000018
90,91,3.0000000000000053
90,92,-3.0000000000000018
91,91,-3.0000000000000053
91,122,2.999999999999999
91,123,2.999999999999999
92,91,0.0
92,92,0.0
92,93,0.0
92,94,0.0
92,123,0.0
92,125,0.0
93,93,-3.0000000000000018
93,94,3.0000000000000053
93,95,-3.0000000000000018
94,94,-3.0000000000000053
94,125,2.999999999999999
94,126,2.999999999999999
95,94,0.0
95,95,0.0
95,96,0.0
95,97,0.0
95,126,0.0
95,128,0.0
96,96,-3.0000000000000018
96,97,3.0000000000000053
96,98,-3.0000000000000018
97,97,-3.0000000000000053
97,128,2.999999999999999
97,129,2.999999999999999
98,97,0.0
98,98,0.0
98,99,0.0
98,100,0.0
98,129,0.0
98,131,0.0
99,99,-3.0000000000000018
99,100,3.0000000000000053
99,101,-3.0000000000000018
100,100,-3.0000000000000053
100,131,2.999999999999999
100,132,2.999999999999999
101,100,0.0
101,101,0.0
101,102,0.0
101,103,0.0
101,132,0.0
101,134,0.0
102,102,-3.0000000000000018
102,103,3.0000000000000053
102,104,-3.0000000000000018
103,103,-3.0000000000000053
103,134,2.999999999999999
103,135,2.999999999999999
104,103,0.0
104,104,0.0
104,105,0.0
104,106,0.0
104,135,0.0
104,137,0.0
105,105,-3.0000000000000018
105,106,3.0000000000000053
105,107,-3.0000000000000018
106,106,-3.0000000000000053
106,137,2.999999999999999
106,138,2.999999999999999
107,106,0.0
107,107,0.0
107,108,0.0
107,109,0.0
107,138,0.0
107,140,0.0
108,108,-3.0000000000000018
108,109,3.0000000000000053
108,110,-3.0000000000000018
109,109,-3.0000000000000053
109,140,2.999999999999999
109,141,2.999999999999999
110,109,0.0
110,110,0.0
110,111,0.0
110,112,0.0
110,141,0.0
110,143,0.0
111,111,-3.0000000000000018
111,112,3.0000000000000053
111,113,-3.0000000000000018
112,112,-3.0000000000000053
112,143,2.999999999999999
112,144,2.999999999999999
113,112,0.0
113,113,0.0
113,114,0.0
113,115,0.0
113,144,0.0
